Centroid,Name,Planned (MW),Operating (MW),In Construction (MW),Operating and In Construction (MW),Total (MW),fips_code,src_name,state
"{""type"":""Point"",""coordinates"":[-79.986755893,37.778616181]}","Covington city, VA",0.0,0.5,0.0,0.5,0.5,51580,Covington,VA
"{""type"":""Point"",""coordinates"":[-76.610644657,39.300980333]}","Baltimore city, MD",0.0,59.5,0.0,59.5,59.5,24510,Baltimore,MD
"{""type"":""Point"",""coordinates"":[-90.041546371,44.455331829]}","Wood County, WI",0.0,0.0,20.0,20.0,20.0,55141,Wood,WI
"{""type"":""Point"",""coordinates"":[-98.508906061,27.681332989]}","Duval County, TX",50.0,0.0,50.0,50.0,100.0,48131,Duval,TX
"{""type"":""Point"",""coordinates"":[-93.802599005,44.820684591]}","Carver County, MN",181.0,13.8,0.0,13.8,194.8,27019,Carver,MN
"{""type"":""Point"",""coordinates"":[-101.894004898,35.401275819]}","Potter County, TX",0.0,0.6,0.0,0.6,0.6,48375,Potter,TX
"{""type"":""Point"",""coordinates"":[-88.230760478,43.368482532]}","Washington County, WI",0.0,1.0,0.0,1.0,1.0,55131,Washington,WI
"{""type"":""Point"",""coordinates"":[-77.156450816,38.273727573]}","King George County, VA",900.0,0.0,0.0,0.0,900.0,51099,King George,VA
"{""type"":""Point"",""coordinates"":[-84.198463784,36.118441138]}","Anderson County, TN",12.0,4.0,0.0,4.0,16.0,47001,Anderson,TN
"{""type"":""Point"",""coordinates"":[-84.026609125,33.654235276]}","Rockdale County, GA",240.0,0.0,30.0,30.0,270.0,13247,Rockdale,GA
"{""type"":""Point"",""coordinates"":[-75.98917632,41.177011996]}","Luzerne County, PA",940.0,98.0,122.0,220.0,1160.0,42079,Luzerne,PA
"{""type"":""Point"",""coordinates"":[-98.504704356,46.110125106]}","Dickey County, ND",300.0,206.0,0.0,206.0,506.0,38021,Dickey,ND
"{""type"":""Point"",""coordinates"":[-87.653114086,42.578505571]}","Kenosha County, WI",160.0,0.0,0.0,0.0,160.0,55059,Kenosha,WI
"{""type"":""Point"",""coordinates"":[-82.483097984,40.09160874]}","Licking County, OH",1601.0,601.0,413.0,1014.0,2615.0,39089,Licking,OH
"{""type"":""Point"",""coordinates"":[-99.213515143,33.6164895]}","Baylor County, TX",83.0,0.0,83.0,83.0,166.0,48023,Baylor,TX
"{""type"":""Point"",""coordinates"":[-96.791436508,43.67417823]}","Minnehaha County, SD",0.0,1.3,0.0,1.3,1.3,46099,Minnehaha,SD
"{""type"":""Point"",""coordinates"":[-87.594463592,43.365652328]}","Ozaukee County, WI",3000.0,0.0,0.0,0.0,3000.0,55089,Ozaukee,WI
"{""type"":""Point"",""coordinates"":[-88.770315919,41.893529323]}","DeKalb County, IL",360.0,260.0,60.0,320.0,680.0,17037,DeKalb,IL
"{""type"":""Point"",""coordinates"":[-88.329380569,36.883446775]}","Marshall County, KY",0.0,150.0,0.0,150.0,150.0,21157,Marshall,KY
"{""type"":""Point"",""coordinates"":[-85.549296283,43.032156292]}","Kent County, MI",180.0,14.5,60.0,74.5,254.5,26081,Kent,MI
"{""type"":""Point"",""coordinates"":[-101.820545831,33.61020612]}","Lubbock County, TX",0.0,0.7,0.0,0.7,0.7,48303,Lubbock,TX
"{""type"":""Point"",""coordinates"":[-96.472486407,32.046942857]}","Navarro County, TX",400.0,400.0,200.0,600.0,1000.0,48349,Navarro,TX
"{""type"":""Point"",""coordinates"":[-74.408858209,40.440065448]}","Middlesex County, NJ",32.0,183.93,12.0,195.93,227.93,34023,Middlesex,NJ
"{""type"":""Point"",""coordinates"":[-116.178478997,34.841438011]}","San Bernardino County, CA",0.0,1.0,0.0,1.0,1.0,6071,San Bernardino,CA
"{""type"":""Point"",""coordinates"":[-92.461488953,47.589868248]}","St. Louis County, MN",0.0,1.3,0.0,1.3,1.3,27137,St. Louis,MN
"{""type"":""Point"",""coordinates"":[-77.586917222,37.378517719]}","Chesterfield County, VA",610.0,44.8,50.0,94.8,704.8,51570,Colonial Heights,VA
"{""type"":""Point"",""coordinates"":[-79.788916813,36.079469022]}","Guilford County, NC",280.0,49.2,20.0,69.2,349.2,37081,Guilford,NC
"{""type"":""Point"",""coordinates"":[-77.477670544,38.701590675]}","Prince William County, VA",5159.0,1675.4,1070.0,2745.4,7904.4,51685,Manassas Park,VA
"{""type"":""Point"",""coordinates"":[-97.460968676,37.684761556]}","Sedgwick County, KS",0.0,0.24,0.0,0.24,0.24,20173,Sedgwick,KS
"{""type"":""Point"",""coordinates"":[-92.308819778,42.470095656]}","Black Hawk County, IA",0.0,1.75,0.0,1.75,1.75,19013,Black Hawk,IA
