Name,Operator,State,City,Power (MW),Whitespace (sqft),Type,Year Built,Year Rennovated,UPS,Cooling System,Zone
43830 Devin Shafron Drive (IAD24),Digital Realty,Virginia,Ashburn,6.8,57700,Colocation,2011,,2N,N+1,DOM
43791 Devin Shafron Drive (IAD14),Digital Realty,Virginia,Ashburn,6.9,51400,Colocation,2001,,2N,N+1,DOM
43881 Devin Shafron Drive (IAD12),Digital Realty,Virginia,Ashburn,9,57100,Colocation,2001,,2N,N+1,DOM
43940 Digital Loudoun Plaza (IAD35),Digital Realty,Virginia,Ashburn,26.4,223800,Colocation,2014,,2N,N+1,DOM
43780 Digital Loudoun Plaza (IAD36),Digital Realty,Virginia,Ashburn,16.8,126800,Colocation,2016,,N+1,N+2,DOM
44100 Digital Loudoun Plaza (IAD38),Digital Realty,Virginia,Ashburn,16.9,115100,Colocation,2016,,2N,N+2,DOM
44060 Digital Loudoun Plaza (IAD37),Digital Realty,Virginia,Ashburn,19.8,169200,Colocation,2014,,2N,N+2,DOM
QTS Ashburn 3 Campus,QTS Data Centers,Virginia,Ashburn,80,,,,,,,DOM
QTS Ashburn 3 DC2,QTS Data Centers,Virginia,Ashburn,42,195000,Colocation,2022,,N+1,N+1,DOM
QTS Ashburn 3 DC1,QTS Data Centers,Virginia,Ashburn,42,195000,Colocation,2021,,N+1,N+1,DOM
Dulles 28 Technology Park,The BlackChamber Group,Virginia,Ashburn,120,531000,Hyperscale,2027,,,,DOM
"22124 Broderick Drive, Bldg R (IAD42)",Digital Realty,Virginia,Ashburn,48,208200,Colocation,2021,,N+1,,DOM
Hanover Technology Park,Tract,Virginia,Ashland,2400,,Hyperscale,2028,,,,DOM
Pixel Factory Data Center,Pixel Factory Data Center,Virginia,Ashland,13,,Colocation,2014,,,N+1,DOM
PointOne Richmond Data Center Campus,PointOne,Virginia,Charels City,424,,Hyperscale,2019,,,,DOM
Chirisa Richmond Technology Park,Chirisa,Virginia,Chester,350,,Hyperscale,2022,,,,DOM
Chirisa DDC Campus,Chirisa,Virginia,Chester,,,,,,,,DOM
TECfusions Clarksville,TECfusions,Virginia,Clarcksville,220,195000,Hyperscale,2023,,,,DOM
Amazon AWS IAD - 20420 Germanna,Amazon AWS,Virginia,Culpeper,,,,,,,,DOM
EdgeCore Culpeper CP03,EdgeCore,Virginia,Culpeper,72,,Hyperscale,2028,,2N,2N,DOM
EdgeCore Culpeper CP01,EdgeCore,Virginia,Culpeper,72,,Hyperscale,2028,,2N,2N,DOM
EdgeCore Culpeper CP02,EdgeCore,Virginia,Culpeper,72,,Hyperscale,2028,,2N,2N,DOM
CloudHQ CLP3,CloudHQ,Virginia,Culpeper,42,,Hyperscale,2029,,,,DOM
CloudHQ CLP1,CloudHQ,Virginia,Culpeper,50,,Hyperscale,2029,,,,DOM
CloudHQ CLP2,CloudHQ,Virginia,Culpeper,50,,Hyperscale,2029,,,,DOM
Equinix CU2,Equinix,Virginia,Culpeper,11,62398,,2010,,N+1,N+1,DOM
Equinix CU3,Equinix,Virginia,Culpeper,15,39535,,2010,,N+1,N+1,DOM
Equinix CU4,Equinix,Virginia,Culpeper,25,52667,,2008,2010,N+1,N+1,DOM
Equinix CU1,Equinix,Virginia,Culpeper,11,45273,,2007,,N+1,N+1,DOM
DataBank IAD6 - Culpeper,DataBank,Virginia,Culpeper,120,383220,Hyperscale,2027,,N+1,N+1,DOM
STACK Infrastructure Fredericksburg,STACK INFRASTRUCTURE,Virginia,Fredericksburg,,,,,,,,DOM
Stafford Technology Campus - Building 5,STACK INFRASTRUCTURE,Virginia,Fredericksburg,,,,,,,,DOM
Stafford Technology Campus - Building 22,STACK INFRASTRUCTURE,Virginia,Fredericksburg,,,,,,,,DOM
Stafford Technology Campus - Building 12,STACK INFRASTRUCTURE,Virginia,Fredericksburg,,,,,,,,DOM
Stafford Technology Campus - Building 21,STACK INFRASTRUCTURE,Virginia,Fredericksburg,,,,,,,,DOM
Stafford Technology Campus - Building 2,STACK INFRASTRUCTURE,Virginia,Fredericksburg,,,,,,,,DOM
Stafford Technology Campus - Building 18,STACK INFRASTRUCTURE,Virginia,Fredericksburg,,,,,,,,DOM
Stafford Technology Campus - Building 14,STACK INFRASTRUCTURE,Virginia,Fredericksburg,,,,,,,,DOM
CleanArc VA1 Campus,,Virginia,Fredericksburg,,,,,,,,DOM
Stafford Technology Campus - Building 19,STACK INFRASTRUCTURE,Virginia,Fredericksburg,,,,,,,,DOM
Stafford Technology Campus - Building 17,STACK INFRASTRUCTURE,Virginia,Fredericksburg,,,,,,,,DOM
Stafford Technology Campus - Building 10,STACK INFRASTRUCTURE,Virginia,Fredericksburg,,,,,,,,DOM
Stafford Technology Campus - Building 4,STACK INFRASTRUCTURE,Virginia,Fredericksburg,,,,,,,,DOM
Stafford Technology Campus - Building 16,STACK INFRASTRUCTURE,Virginia,Fredericksburg,,,,,,,,DOM
Stafford Technology Campus - Building 23,STACK INFRASTRUCTURE,Virginia,Fredericksburg,,,,,,,,DOM
Stafford Technology Campus - Building 9,STACK INFRASTRUCTURE,Virginia,Fredericksburg,,,,,,,,DOM
Stafford Technology Campus - Building 1,STACK INFRASTRUCTURE,Virginia,Fredericksburg,,,,,,,,DOM
Stafford Technology Campus - Building 13,STACK INFRASTRUCTURE,Virginia,Fredericksburg,,,,,,,,DOM
Stafford Technology Campus,STACK INFRASTRUCTURE,Virginia,Fredericksburg,,,,,,,,DOM
Stafford Technology Campus - Building 20,STACK INFRASTRUCTURE,Virginia,Fredericksburg,,,,,,,,DOM
Stafford Technology Campus - Building 7,STACK INFRASTRUCTURE,Virginia,Fredericksburg,,,,,,,,DOM
Stafford Technology Campus - Building 8,STACK INFRASTRUCTURE,Virginia,Fredericksburg,,,,,,,,DOM
